Date,Open,High,Low,Close,Volume,openinterest,tp_score
2015-07-29 00:00:00,1.976,2.038,1.953,1.976,1170000.0,0,11.8694603264
2015-07-30 00:00:00,1.992,2.046,1.984,1.992,1910000.0,0,11.5936322304
2015-07-31 00:00:00,1.976,2.015,1.937,1.953,1533000.0,0,10.9606058126
2015-08-03 00:00:00,1.976,1.976,1.898,1.914,1060000.0,0,9.74937647932
2015-08-04 00:00:00,1.906,1.999,1.906,1.953,1404165.0,0,11.6836773541
2015-08-05 00:00:00,1.945,2.062,1.945,2.023,1396000.0,0,15.7145865698
2015-08-06 00:00:00,2.023,2.046,1.999,2.038,793000.0,0,16.8047169836
2015-08-07 00:00:00,2.015,2.139,2.007,2.108,1023000.0,0,20.7240329478
2015-08-10 00:00:00,2.085,2.217,2.077,2.186,1198000.0,0,22.9551867451
2015-08-11 00:00:00,2.178,2.194,2.147,2.171,2565000.0,0,20.9072775804
2015-08-12 00:00:00,2.124,2.139,2.046,2.077,1146000.0,0,19.1797484082
2015-08-13 00:00:00,2.062,2.101,2.062,2.077,413202.0,0,19.0519489476
2015-08-14 00:00:00,2.046,2.101,2.046,2.077,112500.0,0,17.9371423674
2015-08-17 00:00:00,2.054,2.085,2.007,2.031,548500.0,0,17.3800428381
2015-08-18 00:00:00,2.015,2.062,1.922,1.922,747000.0,0,14.2308312528
2015-08-19 00:00:00,1.922,1.953,1.859,1.89,1798000.0,0,9.67894892502
2015-08-20 00:00:00,1.875,1.875,1.797,1.813,2087300.0,0,6.85450876675
2015-08-21 00:00:00,1.782,1.782,1.68,1.735,2655000.0,0,5.08985186023
2015-08-24 00:00:00,1.665,1.665,1.517,1.556,3810000.0,0,2.63020986486
2015-08-25 00:00:00,1.517,1.61,1.431,1.533,2321000.0,0,2.73259839451
2015-08-26 00:00:00,1.556,1.603,1.501,1.533,1203000.0,0,2.93949896444
2015-08-27 00:00:00,1.595,1.688,1.572,1.68,2013200.0,0,3.74355228292
2015-08-28 00:00:00,1.727,1.852,1.727,1.766,3115000.0,0,3.82790992793
2015-08-31 00:00:00,1.789,1.789,1.665,1.704,2048000.0,0,2.49294355589
2015-09-01 00:00:00,1.696,1.712,1.595,1.626,1172790.0,0,2.17669798565
2015-09-02 00:00:00,1.587,1.642,1.54,1.572,2405000.0,0,1.58521811866
2015-09-04 00:00:00,1.618,1.634,1.486,1.525,2056000.0,0,1.43159387933
2015-09-07 00:00:00,1.501,1.564,1.455,1.525,1560085.0,0,1.49260595277
2015-09-08 00:00:00,1.548,1.712,1.548,1.704,2061000.0,0,2.34759395622
2015-09-09 00:00:00,1.727,1.789,1.673,1.735,1752000.0,0,2.58062236747
2015-09-10 00:00:00,1.673,1.704,1.665,1.688,362000.0,0,2.40397210035
2015-09-11 00:00:00,1.712,1.735,1.68,1.712,320000.0,0,2.55233409298
2015-09-14 00:00:00,1.719,1.735,1.665,1.696,458000.0,0,2.40749878741
2015-09-15 00:00:00,1.68,1.704,1.68,1.696,220000.0,0,3.32658609463
2015-09-16 00:00:00,1.719,1.782,1.704,1.782,614000.0,0,5.32622970362
2015-09-17 00:00:00,1.797,1.797,1.735,1.758,730155.0,0,6.38738258496
2015-09-18 00:00:00,1.75,1.898,1.75,1.859,2561000.0,0,5.92853186492
2015-09-21 00:00:00,1.844,1.906,1.797,1.89,1248000.0,0,6.20800291577
2015-09-22 00:00:00,1.914,1.914,1.836,1.867,600000.0,0,4.75561882404
2015-09-23 00:00:00,1.828,1.852,1.766,1.797,1201000.0,0,4.13188830078
2015-09-24 00:00:00,1.828,1.836,1.774,1.813,326000.0,0,5.1668189004
2015-09-25 00:00:00,1.836,1.844,1.782,1.82,622000.0,0,5.26633023846
2015-09-29 00:00:00,1.782,2.015,1.75,2.007,2452000.0,0,8.61477264518
2015-09-30 00:00:00,2.015,2.054,1.914,1.945,1772000.0,0,7.77738495789
2015-10-02 00:00:00,2.038,2.038,1.945,1.992,1255000.0,0,8.82717702831
2015-10-05 00:00:00,2.031,2.038,1.945,1.968,963000.0,0,8.80966400432
2015-10-06 00:00:00,1.976,2.007,1.914,1.922,857452.0,0,8.99458254107
2015-10-07 00:00:00,1.953,1.999,1.914,1.984,1924000.0,0,11.0772110952
2015-10-08 00:00:00,1.984,2.023,1.929,1.976,1275000.0,0,12.302441816
2015-10-09 00:00:00,1.984,2.031,1.984,2.031,1788000.0,0,15.0208385145
2015-10-12 00:00:00,2.038,2.132,2.038,2.132,2649000.0,0,17.9050789473
2015-10-13 00:00:00,2.139,2.139,2.046,2.101,1415000.0,0,16.3585633125
